,id_ketua,id_anggota1,id_anggota2,id_anggota3,id_anggota4,id_anggota5,keterlibatan_vltr,jml_vltr_terlibat,tahun,skema,luaran_hki,jenis_luaran_hki,potensi_hki,luaran_lain,jenis_luaran_lain,status_luaran_lain
50,8301.0,8604.0,8702.0,8807.0,8901.0,0.0,TIDAK,0,2021,REGULER,TIDAK ADA,TIDAK ADA,TIDAK,TIDAK ADA,TIDAK ADA,TIDAK ADA
51,7905.0,8703.0,8601.0,9102.0,8904.0,0.0,TIDAK,0,2021,REGULER,TIDAK ADA,TIDAK ADA,TIDAK,TIDAK ADA,TIDAK ADA,TIDAK ADA
52,8602.0,8704.0,9003.0,8602.0,8107.0,0.0,TIDAK,0,2021,REGULER,TIDAK ADA,TIDAK ADA,TIDAK,TIDAK ADA,TIDAK ADA,TIDAK ADA
53,8201.0,9101.0,8905.0,8305.0,569.0,0.0,YA,3,2021,REGULER,TIDAK ADA,TIDAK ADA,TIDAK,TIDAK ADA,TIDAK ADA,TIDAK ADA
54,7702.0,7903.0,7607.0,8008.0,8906.0,0.0,YA,3,2021,KEMITRAAN,ADA,Hak Cipta,SUDAH,YA,Publikasi Media Massa,Terpublikasi
55,8604.0,0.0,5903.0,6204.0,8301.0,0.0,TIDAK,0,2021,REGULER,TIDAK ADA,TIDAK ADA,TIDAK,TIDAK ADA,TIDAK ADA,TIDAK ADA
56,8101.0,9201.0,9402.0,9209.0,8003.0,0.0,TIDAK,0,2021,REGULER,TIDAK ADA,TIDAK ADA,TIDAK,TIDAK ADA,TIDAK ADA,TIDAK ADA
57,8305.0,8701.0,9103.0,8907.0,8201.0,0.0,TIDAK,0,2021,REGULER,TIDAK ADA,TIDAK ADA,TIDAK,TIDAK ADA,TIDAK ADA,TIDAK ADA
58,8201.0,8305.0,8907.0,569.0,8905.0,0.0,TIDAK,0,2022,REGULER,TIDAK ADA,TIDAK ADA,TIDAK,TIDAK ADA,TIDAK ADA,TIDAK ADA
59,8008.0,7607.0,7702.0,8905.0,9303.0,0.0,TIDAK,0,2022,REGULER,TIDAK ADA,TIDAK ADA,TIDAK,TIDAK ADA,TIDAK ADA,TIDAK ADA
60,8104.0,8008.0,7903.0,8805.0,8905.0,0.0,YA,2,2022,KEMITRAAN,TIDAK ADA,TIDAK ADA,TIDAK,TIDAK ADA,TIDAK ADA,TIDAK ADA
61,7214.0,7109.0,8906.0,8906.0,8901.0,0.0,YA,3,2022,REGULER,TIDAK ADA,TIDAK ADA,TIDAK,YA,Artikel Ilmiah,Draft
62,8903.0,8903.0,9104.0,8402.0,0.0,0.0,YA,3,2022,REGULER,TIDAK ADA,TIDAK ADA,TIDAK,TIDAK ADA,TIDAK ADA,TIDAK ADA
63,7706.0,7607.0,7702.0,7801.0,0.0,0.0,YA,3,2022,REGULER,TIDAK ADA,TIDAK ADA,TIDAK,TIDAK ADA,TIDAK ADA,TIDAK ADA
64,8602.0,9003.0,8704.0,8003.0,8107.0,0.0,YA,3,2022,REGULER,TIDAK ADA,TIDAK ADA,TIDAK,TIDAK ADA,TIDAK ADA,TIDAK ADA
65,8305.0,9103.0,8907.0,8201.0,9002.0,0.0,TIDAK,0,2022,REGULER,TIDAK ADA,TIDAK ADA,TIDAK,TIDAK ADA,TIDAK ADA,TIDAK ADA
66,9209.0,9402.0,9201.0,8910.0,8101.0,0.0,TIDAK,0,2022,REGULER,TIDAK ADA,TIDAK ADA,TIDAK,TIDAK ADA,TIDAK ADA,TIDAK ADA
67,7905.0,8703.0,8601.0,8904.0,6211.0,0.0,TIDAK,0,2022,REGULER,TIDAK ADA,TIDAK ADA,TIDAK,TIDAK ADA,TIDAK ADA,TIDAK ADA
68,8701.0,8901.0,7214.0,8101.0,0.0,0.0,YA,3,2022,REGULER,TIDAK ADA,TIDAK ADA,TIDAK,TIDAK ADA,TIDAK ADA,TIDAK ADA
69,9101.0,9003.0,9104.0,8901.0,8807.0,0.0,TIDAK,0,2022,REGULER,TIDAK ADA,TIDAK ADA,TIDAK,TIDAK ADA,TIDAK ADA,TIDAK ADA
70,8604.0,7206.0,0.0,8702.0,8301.0,0.0,TIDAK,0,2022,REGULER,ADA,Hak Cipta,SUDAH,YA,Publikasi Media Massa,Terpublikasi
